map_unit,region,party,votes,local_seats
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PAM,47463,2
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,RNI,46396,2
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PI,21661,1
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,USFP,15123,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,MP,11634,1
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,UC,9392,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PJD,8980,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PPS,2705,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PSU,1946,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,AFG,751,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PCS,649,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PML,483,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PVM,457,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,FFD,269,0
Province d'Azilal إقليم أزيلال,Béni Mellal-Khénifra,PDI,115,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,RNI,35299,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PAM,30383,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PI,16274,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,USFP,12589,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,MP,11169,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PPS,10788,1
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,AFG,9566,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PJD,6852,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,MDS,6255,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,FFD,3328,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PSU,946,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PVM,671,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PDN,208,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PRV,103,0
Province de Beni Mellal إقليم بني ملال,Béni Mellal-Khénifra,PSD,66,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,RNI,37584,1
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,MP,25704,1
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PAM,20367,1
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,USFP,17205,1
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PI,12231,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PJD,6559,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,UC,2265,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,AFG,1517,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PML,902,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PVM,875,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PPS,735,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PA,352,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PCS,269,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PLJS,149,0
Province de Fquih Ben Saleh إقليم الفقيه بن صالح,Béni Mellal-Khénifra,PRV,58,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,RNI,22708,1
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PAM,18811,1
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,MP,17227,1
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PI,16326,1
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,USFP,15576,1
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PPS,11940,1
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,MDS,9394,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PJD,5528,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,UC,5507,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PSU,2197,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,AFG,1441,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,NEO,1419,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PML,1054,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,FFD,1049,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PAN,527,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PVM,364,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PLJS,341,0
Province de Khouribga إقليم خريبكة,Béni Mellal-Khénifra,PRD,171,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,RNI,32591,1
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,MP,23555,1
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PI,12941,1
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PAM,12767,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,MDS,7316,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,UC,6580,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,USFP,6077,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,FFD,1835,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PPS,1681,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PSU,751,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,AFG,572,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PA,563,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PEDD,365,0
Province de Khénifra إقليم خنيفرة,Béni Mellal-Khénifra,PVM,214,0
Berrechid Province,Casablanca-Settat,PI,43744,1
Berrechid Province,Casablanca-Settat,RNI,38879,1
Berrechid Province,Casablanca-Settat,PAM,20161,1
Berrechid Province,Casablanca-Settat,USFP,14748,1
Berrechid Province,Casablanca-Settat,PJD,5153,0
Berrechid Province,Casablanca-Settat,MP,2996,0
Berrechid Province,Casablanca-Settat,UC,1477,0
Berrechid Province,Casablanca-Settat,PPS,1227,0
Berrechid Province,Casablanca-Settat,PRV,1126,0
Berrechid Province,Casablanca-Settat,AFG,897,0
Berrechid Province,Casablanca-Settat,NEO,409,0
Berrechid Province,Casablanca-Settat,PSU,360,0
Berrechid Province,Casablanca-Settat,PML,196,0
Berrechid Province,Casablanca-Settat,PEDD,132,0
Berrechid Province,Casablanca-Settat,PVM,73,0
Berrechid Province,Casablanca-Settat,PCS,53,0
El Jadida Province,Casablanca-Settat,RNI,52953,1
El Jadida Province,Casablanca-Settat,PI,35868,1
El Jadida Province,Casablanca-Settat,PAM,27290,1
El Jadida Province,Casablanca-Settat,USFP,22367,1
El Jadida Province,Casablanca-Settat,PPS,20719,1
El Jadida Province,Casablanca-Settat,MP,17748,1
El Jadida Province,Casablanca-Settat,UC,4595,0
El Jadida Province,Casablanca-Settat,PJD,4477,0
El Jadida Province,Casablanca-Settat,AFG,3544,0
El Jadida Province,Casablanca-Settat,UMD,2162,0
El Jadida Province,Casablanca-Settat,FFD,2074,0
El Jadida Province,Casablanca-Settat,NEO,1314,0
El Jadida Province,Casablanca-Settat,PDI,1099,0
El Jadida Province,Casablanca-Settat,PSU,895,0
El Jadida Province,Casablanca-Settat,PEDD,813,0
El Jadida Province,Casablanca-Settat,MDS,752,0
El Jadida Province,Casablanca-Settat,PLJS,685,0
El Jadida Province,Casablanca-Settat,PCS,582,0
El Jadida Province,Casablanca-Settat,PML,562,0
El Jadida Province,Casablanca-Settat,PRD,408,0
El Jadida Province,Casablanca-Settat,PAN,151,0
Médiouna Province,Casablanca-Settat,PI,13387,1
Médiouna Province,Casablanca-Settat,PAM,13029,1
Médiouna Province,Casablanca-Settat,RNI,11673,0
Médiouna Province,Casablanca-Settat,USFP,1121,0
Médiouna Province,Casablanca-Settat,PPS,1033,0
Médiouna Province,Casablanca-Settat,PJD,853,0
Médiouna Province,Casablanca-Settat,PVM,753,0
Médiouna Province,Casablanca-Settat,FFD,242,0
Médiouna Province,Casablanca-Settat,PCS,165,0
Médiouna Province,Casablanca-Settat,PA,20,0
Nouaceur Province,Casablanca-Settat,RNI,21076,1
Nouaceur Province,Casablanca-Settat,PAM,13092,1
Nouaceur Province,Casablanca-Settat,PI,9448,1
Nouaceur Province,Casablanca-Settat,USFP,3292,0
Nouaceur Province,Casablanca-Settat,UC,1961,0
Nouaceur Province,Casablanca-Settat,PJD,1648,0
Nouaceur Province,Casablanca-Settat,MP,1585,0
Nouaceur Province,Casablanca-Settat,PSU,997,0
Nouaceur Province,Casablanca-Settat,PML,980,0
Nouaceur Province,Casablanca-Settat,PPS,708,0
Nouaceur Province,Casablanca-Settat,NEO,569,0
Nouaceur Province,Casablanca-Settat,PLJS,188,0
Nouaceur Province,Casablanca-Settat,PVM,151,0
Nouaceur Province,Casablanca-Settat,PCS,45,0
Prefecture of Casablanca,Casablanca-Settat,RNI,92263,8
Prefecture of Casablanca,Casablanca-Settat,PAM,39109,7
Prefecture of Casablanca,Casablanca-Settat,PI,28866,7
Prefecture of Casablanca,Casablanca-Settat,PJD,21765,1
Prefecture of Casablanca,Casablanca-Settat,UC,20181,2
Prefecture of Casablanca,Casablanca-Settat,PPS,12135,1
Prefecture of Casablanca,Casablanca-Settat,MP,10389,0
Prefecture of Casablanca,Casablanca-Settat,USFP,9672,0
Prefecture of Casablanca,Casablanca-Settat,PSU,7149,0
Prefecture of Casablanca,Casablanca-Settat,AFG,5879,0
Prefecture of Casablanca,Casablanca-Settat,MDS,3911,0
Prefecture of Casablanca,Casablanca-Settat,NEO,3149,0
Prefecture of Casablanca,Casablanca-Settat,FFD,2775,0
Prefecture of Casablanca,Casablanca-Settat,PEDD,1548,0
Prefecture of Casablanca,Casablanca-Settat,PRV,1284,0
Prefecture of Casablanca,Casablanca-Settat,PCS,1157,0
Prefecture of Casablanca,Casablanca-Settat,AHD,998,0
Prefecture of Casablanca,Casablanca-Settat,PUD,986,0
Prefecture of Casablanca,Casablanca-Settat,PDI,918,0
Prefecture of Casablanca,Casablanca-Settat,PLJS,856,0
Prefecture of Casablanca,Casablanca-Settat,PA,654,0
Prefecture of Casablanca,Casablanca-Settat,PML,209,0
Prefecture of Casablanca,Casablanca-Settat,PRD,191,0
Prefecture of Casablanca,Casablanca-Settat,PAN,160,0
Prefecture of Casablanca,Casablanca-Settat,PVM,112,0
Prefecture of Casablanca,Casablanca-Settat,PSD,37,0
Prefecture of Mohammédia,Casablanca-Settat,RNI,24401,1
Prefecture of Mohammédia,Casablanca-Settat,PI,14498,1
Prefecture of Mohammédia,Casablanca-Settat,PAM,8605,1
Prefecture of Mohammédia,Casablanca-Settat,USFP,5121,0
Prefecture of Mohammédia,Casablanca-Settat,PJD,2638,0
Prefecture of Mohammédia,Casablanca-Settat,UC,2469,0
Prefecture of Mohammédia,Casablanca-Settat,NEO,1424,0
Prefecture of Mohammédia,Casablanca-Settat,FFD,1159,0
Prefecture of Mohammédia,Casablanca-Settat,MP,1102,0
Prefecture of Mohammédia,Casablanca-Settat,PPS,1051,0
Prefecture of Mohammédia,Casablanca-Settat,AFG,788,0
Prefecture of Mohammédia,Casablanca-Settat,PEDD,725,0
Prefecture of Mohammédia,Casablanca-Settat,PSU,633,0
Prefecture of Mohammédia,Casablanca-Settat,PUD,346,0
Prefecture of Mohammédia,Casablanca-Settat,PCS,330,0
Prefecture of Mohammédia,Casablanca-Settat,PML,156,0
Prefecture of Mohammédia,Casablanca-Settat,PAN,139,0
Prefecture of Mohammédia,Casablanca-Settat,PDI,105,0
Prefecture of Mohammédia,Casablanca-Settat,PRD,86,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PI,18849,1
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,RNI,16743,1
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PPS,14582,1
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,USFP,11065,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PAM,6657,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PJD,4550,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,NEO,822,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PSU,763,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PA,711,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PLJS,639,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,AFG,541,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PSD,363,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,FFD,352,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PML,313,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PVM,276,0
Province de Benslimane إقليم بن سليمان,Casablanca-Settat,PCS,107,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,USFP,31160,1
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PAM,30366,1
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,RNI,21492,1
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PI,21241,1
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,UC,17169,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,FFD,8041,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,MP,5308,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PPS,1305,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,AFG,1225,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PUD,641,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PSU,535,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PLJS,381,0
Province de Sidi Bennour إقليم سيدي بنور,Casablanca-Settat,PA,269,0
Settat Province,Casablanca-Settat,RNI,38020,1
Settat Province,Casablanca-Settat,PI,34171,1
Settat Province,Casablanca-Settat,UC,32360,1
Settat Province,Casablanca-Settat,PAM,24893,1
Settat Province,Casablanca-Settat,USFP,15032,1
Settat Province,Casablanca-Settat,MP,7655,1
Settat Province,Casablanca-Settat,MDS,6088,0
Settat Province,Casablanca-Settat,PJD,6060,0
Settat Province,Casablanca-Settat,PPS,4608,0
Settat Province,Casablanca-Settat,AFG,2668,0
Settat Province,Casablanca-Settat,PML,1508,0
Settat Province,Casablanca-Settat,PEDD,1005,0
Settat Province,Casablanca-Settat,PSU,793,0
Settat Province,Casablanca-Settat,FFD,742,0
Settat Province,Casablanca-Settat,PLJS,714,0
Settat Province,Casablanca-Settat,PVM,599,0
Settat Province,Casablanca-Settat,PAN,267,0
Settat Province,Casablanca-Settat,PUD,199,0
Settat Province,Casablanca-Settat,PCS,150,0
Settat Province,Casablanca-Settat,PA,138,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PI,11611,1
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,RNI,6497,1
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PAM,2007,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PPS,1745,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PSD,564,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PJD,530,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PCS,266,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,USFP,217,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PRV,215,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PEDD,211,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PML,172,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,MDS,167,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,NEO,157,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PRD,143,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PAN,131,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PLJS,111,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PVM,81,0
Oued Ed-Dahab Province,Dakhla-Oued Ed-Dahab,PDI,52,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PI,4012,1
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,RNI,1812,1
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PVM,1709,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PPS,117,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,USFP,64,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PJD,35,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PML,34,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PAM,29,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,MDS,16,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,NEO,12,0
Province d'Aousserd إقليم أوسرد,Dakhla-Oued Ed-Dahab,PAN,2,0
Ouarzazate Province,Drâa-Tafilalet,RNI,30677,1
Ouarzazate Province,Drâa-Tafilalet,PAM,13168,1
Ouarzazate Province,Drâa-Tafilalet,PI,6832,0
Ouarzazate Province,Drâa-Tafilalet,PPS,5819,0
Ouarzazate Province,Drâa-Tafilalet,PJD,1967,0
Ouarzazate Province,Drâa-Tafilalet,USFP,1045,0
Ouarzazate Province,Drâa-Tafilalet,PSU,687,0
Ouarzazate Province,Drâa-Tafilalet,AFG,618,0
Ouarzazate Province,Drâa-Tafilalet,PEDD,526,0
Ouarzazate Province,Drâa-Tafilalet,NEO,459,0
Ouarzazate Province,Drâa-Tafilalet,PUD,223,0
Ouarzazate Province,Drâa-Tafilalet,UMD,181,0
Ouarzazate Province,Drâa-Tafilalet,PAN,144,0
Ouarzazate Province,Drâa-Tafilalet,PVM,77,0
Ouarzazate Province,Drâa-Tafilalet,PCS,47,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,RNI,24927,1
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PI,16014,1
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PAM,14596,1
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,MDS,13100,1
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,USFP,11651,1
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PJD,9747,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,MP,6809,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,UC,6538,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PPS,6401,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,FFD,2104,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PSU,643,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PA,471,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PRD,390,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PEDD,233,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PVM,141,0
Province d'Errachidia إقليم الرشيدية,Drâa-Tafilalet,PDI,114,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,RNI,29480,1
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PI,21049,1
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,MP,19039,1
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PAM,3120,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PPS,3060,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,USFP,2622,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,FFD,1762,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PJD,1698,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,UC,1398,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,AFG,617,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PVM,412,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PSU,133,0
Province de Midelt إقليم ميدلت,Drâa-Tafilalet,PDI,115,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,RNI,36365,1
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PAM,18350,1
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PPS,17418,1
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PI,9997,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,MP,7731,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,USFP,4507,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PJD,4248,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PSU,776,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,NEO,680,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PCS,339,0
Province de Tinghir إقليم تنغير,Drâa-Tafilalet,PVM,151,0
Zagora Province,Drâa-Tafilalet,RNI,24106,1
Zagora Province,Drâa-Tafilalet,USFP,21435,1
Zagora Province,Drâa-Tafilalet,PI,20341,1
Zagora Province,Drâa-Tafilalet,MP,12793,0
Zagora Province,Drâa-Tafilalet,PPS,5250,0
Zagora Province,Drâa-Tafilalet,PJD,4555,0
Zagora Province,Drâa-Tafilalet,PAM,3650,0
Zagora Province,Drâa-Tafilalet,NEO,1035,0
Zagora Province,Drâa-Tafilalet,PRD,606,0
Zagora Province,Drâa-Tafilalet,PSU,546,0
Zagora Province,Drâa-Tafilalet,PCS,157,0
Zagora Province,Drâa-Tafilalet,UC,151,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PI,29425,1
Prefecture de Meknès عمالة مكناس,Fez-Meknes,RNI,28336,1
Prefecture de Meknès عمالة مكناس,Fez-Meknes,MP,22550,1
Prefecture de Meknès عمالة مكناس,Fez-Meknes,UC,12966,1
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PAM,10347,1
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PJD,7459,1
Prefecture de Meknès عمالة مكناس,Fez-Meknes,USFP,4007,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PSU,3250,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,AFG,2334,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PPS,2299,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,MDS,1477,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PEDD,1029,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PDI,656,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PRD,614,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,NEO,521,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PUD,365,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PVM,97,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PML,85,0
Prefecture de Meknès عمالة مكناس,Fez-Meknes,PA,60,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PI,23569,1
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,RNI,21115,1
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PPS,9922,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PAM,7147,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,MP,5164,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PJD,4626,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,USFP,2740,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PSU,1394,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,MDS,711,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,AFG,543,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PCS,402,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PVM,262,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PDI,182,0
Province d'El Hajeb إقليم الحاجب,Fez-Meknes,PA,16,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,RNI,19595,1
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,MP,17400,1
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PI,8010,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PAM,1363,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PJD,1002,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,USFP,850,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PCS,423,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,FFD,391,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,UC,365,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,NEO,307,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PVM,204,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PDI,90,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,UMD,49,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PLJS,19,0
Province d'Ifrane ⵜⴰⵙⴳⴰ ⵏ ⵉⴼⵔⴰⵏ إقليم إفران,Fez-Meknes,PA,11,0
Province de Boulemane إقليم بولمان,Fez-Meknes,RNI,28802,1
Province de Boulemane إقليم بولمان,Fez-Meknes,MP,9499,1
Province de Boulemane إقليم بولمان,Fez-Meknes,PPS,8874,1
Province de Boulemane إقليم بولمان,Fez-Meknes,PI,8098,0
